"ZREGION";"ZREGION";"ZFUELTYP";"ZFUELTYP";"ZFUELCAT";"ZFUELCAT";"ZCOUNTRY";"ZCOUNTRY";"ZCONTI";"ZCONTI";"ZCALYEAR";"ZCALYEAR";"1ROWCOUNT0000000000000009";"ZCONSBCF00000000000000008";"ZCONSBCF00000000000000008";"ZCONSBCM00000000000000008";"ZCONSBCM00000000000000008";"ZCONSMT000000000000000007";"ZCONSMT000000000000000007";"ZCONSMTO00000000000000008";"ZCONSMTO00000000000000008";"ZCONSTBD00000000000000008";"ZCONSTBD00000000000000008";"ZCONSTW000000000000000007";"ZCONSTW000000000000000007"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1965";"01965";"1";"0";"MT";"0";"BCF";"2";"TBD";"0";"BCM";"0";"MTO";"2";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1966";"01966";"1";"0";"MT";"0";"BCF";"3";"TBD";"0";"BCM";"0";"MTO";"11";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1967";"01967";"1";"0";"MT";"0";"BCF";"3";"TBD";"0";"BCM";"0";"MTO";"13";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1968";"01968";"1";"0";"MT";"0";"BCF";"3";"TBD";"0";"BCM";"0";"MTO";"15";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1969";"01969";"1";"0";"MT";"0";"BCF";"4";"TBD";"0";"BCM";"0";"MTO";"17";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1970";"01970";"1";"0";"MT";"0";"BCF";"4";"TBD";"0";"BCM";"0";"MTO";"19";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1971";"01971";"1";"0";"MT";"0";"BCF";"5";"TBD";"0";"BCM";"0";"MTO";"2";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1972";"01972";"1";"0";"MT";"0";"BCF";"5";"TBD";"0";"BCM";"0";"MTO";"23";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1973";"01973";"1";"0";"MT";"0";"BCF";"5";"TBD";"0";"BCM";"0";"MTO";"24";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1974";"01974";"1";"0";"MT";"0";"BCF";"7";"TBD";"0";"BCM";"0";"MTO";"27";"TWH"
